store,title,validFrom,validUntil,image,price,oldPrice,loyaltyRequired,storeSize,description,discountInfo,productBrand,discountDescription
"Maxima","Mėsos gaminiams BERETTA*","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f320246136.png","","","false","2","Iki 02.23 , nuo","-30%","",""
"Maxima","Vytinta dešra FUET CASERO su pelėsiu*, I r., 2 vnt. × 170 g","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f32026aa45.png","3.99","","false","0","1 kg – 11,74 €","","",""
"Maxima","Vytintos dešrelės KREKENAVOS BE KONSERVANTŲ*, a. r., 220 g","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f3202e0d64.png","3.99","5.89","false","0","1 kg – 18,14 €","-32%","",""
"Maxima","VILNIAUS PAUKŠTYNO mėsos gaminių linijai HEAT & EAT*","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f3203117fe.png","","","false","0","Iki 02.23","-30%","",""
"Maxima","Kepta pjaustyta jautiena su garst. ir krapų padažu WELL DONE PREMIUM*, a. r., 120 g","","2026-03-02","https://offers.maxima.lt/media/MarketingOffer/6980b99fdd0e6.png","3.99","4.99","true","2","Iki 03.02 , nuo","","",""
"Maxima","Karštai rūkyti sparneliai VILNIAUS PAUKŠTYNAS FIESTA SNACK*, 2 rūšių, a. r., 180 g","","2026-03-02","https://offers.maxima.lt/media/MarketingOffer/6980b99f82d85.png","1.49","1.99","true","0","Iki 03.02","","",""
"Maxima","ROKIŠKIO MĖSINĖS rūkytos pjaustytos kiaulių ausys*, 2 rūšių, a. r.; I r., 200 g","","2026-03-02","https://offers.maxima.lt/media/MarketingOffer/6980b99f98861.png","1.99","3.89","true","0","Iki 03.02","","",""
"Maxima","Vyt. pj. bran. kiaulienos filė su burb. ir klevų sir. MAŽEIKIŲ MĖSINĖ*, a. r., 160 g","","2026-03-02","https://offers.maxima.lt/media/MarketingOffer/6980b9a82a8fa.png","3.49","4.99","true","2","Iki 03.02 , nuo","","",""
"Maxima","Vytinta pjaustyta kiaulienos nugarinė MAŽEIKIŲ MĖSINĖ GO SNACK*, a. r., 160 g","","2026-03-02","https://offers.maxima.lt/media/MarketingOffer/6980b9a8857d1.png","2.99","3.99","true","2","Iki 03.02 , nuo","","",""
"Maxima","Mėsos gaminiams MEAT CRAFT*","","2026-03-02","https://offers.maxima.lt/media/MarketingOffer/6980b9a7c6ca5.png","","","false","2","Iki 03.02 , nuo","-20%","",""
"Maxima","Vytinta ispaniška tepamoji dešra ELPOZO LEGADO*, nerūš., 250 g","","2026-03-02","https://offers.maxima.lt/media/MarketingOffer/6980b9a84b797.png","1.89","2.59","true","2","Iki 03.02 , nuo","","",""
"Maxima","Vytintos kiaulienos lazdelės TARCZYNSKI SALAMI*, 3 rūšių, II r., 80 g","","2026-03-02","https://offers.maxima.lt/media/MarketingOffer/6980b9a8c0b14.png","1.69","2.39","true","0","Iki 03.02","","",""
"Maxima","Vytintos kiaulienos dešrelės RIDDER HEIMS*, 3 rūšių, a. r., 50 g","","2026-03-02","https://offers.maxima.lt/media/MarketingOffer/6980b9a80dc80.png","1.09","1.39","false","2","1 kg – 21,80 €","-21%","",""
"Maxima","Vytintas jautienos; kalakutienos batonėlis THE MEAT MAKERS*, 2 rūšių, a. r., 25 g","","2026-03-02","https://offers.maxima.lt/media/MarketingOffer/6980b9a7e4e24.png","1.19","1.49","true","2","Iki 03.02 , nuo","","",""
"Maxima","Vytinta jautiena JACK LINK’S*, 2 rūšių, a. r., 25 g","","2026-03-02","https://offers.maxima.lt/media/MarketingOffer/6980b9a8a1c59.png","2.39","2.99","true","2","Iki 03.02 , nuo","","",""
"Maxima","Džiovintos vištienos užkandis CHICK & GO*, 3 rūšių, nerūš., 30 g","","2026-03-02","https://offers.maxima.lt/media/MarketingOffer/6980b9a8de59c.png","1.69","2.69","true","2","Iki 03.02 , nuo","","",""
"Maxima","Šviežia viščiukų broilerių filė kepsniams be antibiotikų WELL DONE*, 400 g","","2026-03-02","https://offers.maxima.lt/media/MarketingOffer/69845f981f85a.png","3.49","4.99","false","0","1 kg – 8,73 €","-30%","",""
"Maxima","VILNIAUS PAUKŠTYNO marinuotas viščiukas PREMIUM*, 3 rūšių, 1 kg","","2026-03-02","https://offers.maxima.lt/media/MarketingOffer/69845f97bdbf5.png","4.49","6.49","false","0","Iki 03.02","-30%","",""
"Maxima","Sausai marinuoti kiaulienos sprandinės kepsneliai BIOVELA*, 3 rūšių, 300–400 g","","2026-03-02","https://offers.maxima.lt/media/MarketingOffer/69845f98c0432.png","4.49","6.49","false","0","1 kg ≥ 11,23 €","-30%","",""
"Maxima","Šaltai rūkyta pjaustyta kiaulienos šoninė BIOVELA*, a. r., 140 g","","2026-03-02","https://offers.maxima.lt/media/MarketingOffer/69845f99073b6.png","1.99","3.49","false","0","1 kg – 14,21 €","-42%","",""
"Maxima","Keptas kiaulių kepenų vyniotinis BEATOS VIRTUVĖ*, a. r., 400 g","","2026-03-02","https://offers.maxima.lt/media/MarketingOffer/69845f98e9c86.png","2.99","4.99","false","2","1 kg – 7,48 €","-40%","",""
"Maxima","BIOVELOS linijos STIX gaminiams*","","2026-03-02","https://offers.maxima.lt/media/MarketingOffer/69845f98d490e.png","","","false","0","Iki 03.02","-50%","",""
"Maxima","Natūrali ŽEMAITIJOS grietinė*, 30 % rieb., 400 g","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f31fe691e0.png","1.79","2.99","false","0","1 kg – 4,48 €","-40%","",""
"Maxima","Saldžios grietinėlės sviestas SAULĖS PIEVOS*, 82 % rieb., 200 g","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f31fdd290e.png","1.29","2.49","false","0","1 kg – 6,45 €","-48%","",""
"Maxima","DVARO fermentiniams ir varškės sūriams*","","2026-02-22","https://offers.maxima.lt/media/MarketingOffer/698f32053ee98.png","","","false","0","Iki 02.22","-30%","",""
"Maxima","Produktams AMFORA*","","2026-02-22","https://offers.maxima.lt/media/MarketingOffer/698f3206154be.png","","","false","0","Iki 02.22","-30%","",""
"Maxima","Mocarelos rutuliukai NONNO NANNI*, 50 % rieb. s. m., 150 g","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f31ec06bd1.png","2.29","2.89","false","0","1 kg – 15,27 €","-20%","",""
"Maxima","Glaistytas varškės sūrelis NYKŠTUKAS*, 10 rūšių, 21–25,7 % rieb., 3 vnt. × 45 g","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f31fe8d4c3.png","1.39","","false","0","1 kg – 10,30 €","","",""
"Maxima","LUKŠIŲ PIENINĖS varškės sūriams*","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f31feb3df3.png","","","false","0","Iki 02.23","-20%","",""
"Maxima","Pusriebė ŽEMAITIJOS varškė*, fasuota, 9 % rieb., 1 kg","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f31fe25b53.png","4.79","6.99","false","0","Iki 02.23","-31%","",""
"Maxima","Ekologiškas pienas DOBILAS*, 2,5 % rieb., 1 l","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f31ef8f313.png","1.79","1.99","true","0","Iki 02.23","","",""
"Maxima","Kefyras WELL DONE*, 2,5 % rieb., 900 g","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f31f0266d9.png","1.25","1.39","true","0","Iki 02.23","","",""
"Maxima","Augaliniams gėrimams WELL DONE*","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f31ef5f48a.png","","","false","0","Iki 02.23","-20%","",""
"Maxima","Pieno produktams AUGA*","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f31f00fb09.png","","","false","0","Iki 02.23","-20%","",""
"Maxima","Pusriebė ROKIŠKIO NAMINĖ varškė*, 9 % rieb., 180 g","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f31ef45587.png","1.25","1.39","true","0","Iki 02.23","","",""
"Maxima","Mocarela riekelėmis WELL DONE*, 45 % rieb. s. m., 150 g","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f31efd3035.png","2.05","2.29","true","0","Iki 02.23","","",""
"Maxima","Tarkuotas sūris DŽIUGAS MIX*, 2 rūšių, 42–43 % rieb. s. m., 200 g","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f31efeb129.png","2.75","3.09","true","0","Iki 02.23","","",""
"Maxima","Lydytas PANEMUNĖS PIEVŲ kremas*, 3 rūšių, 22 % rieb., 2 ind. × 160 g","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f31efa3f13.png","3.69","","false","0","1 kg – 11,53 €","","",""
"Maxima","VILKYŠKIŲ varškės užtepėlė; kremas*, 4 rūšių, 15–19 % rieb., 2 ind. × 150 g","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f31efbc2c5.png","2.95","","false","0","1 kg – 9,83 €","","",""
"Maxima","Ožkų pieno sviestas GOAT FARM*, 82 % rieb., 125 g","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f31ef7843c.png","2.09","2.35","true","2","Iki 02.23 , nuo","","",""
"Maxima","Ant kraiko laikomų vištų kiaušiniai WELL DONE*, A klasė, M dydis, 1 dėž. (10 vnt.)","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f31f075e0f.png","2.35","2.65","false","0","1 vnt. – 0,24 €","-11%","",""
"Maxima","Natūrali sojų varškė LUNTER*, 180 g","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f31f0d2f84.png","0.79","0.89","true","0","Iki 02.23","","",""
"Maxima","Pelėsinis sūris BLEU FROMAGER D’AFFINOIS*, 71 % rieb. s. m., sveriamas, 1 kg","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f31f542f7f.png","19.99","22.99","true","2","Iki 02.23 , nuo","","",""
"Maxima","Kreminis sūris CASTELLO*, 2 rūšių, 24–27 % rieb. s. m., 125 g","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f31f50ae90.png","2.79","3.15","true","3","Iki 02.23 , nuo","","",""
"Maxima","Rūkytas lydytas sūris VISIEMS*, 40 % rieb. s. m., 330 g","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f31f49106c.png","2.45","2.75","true","0","Iki 02.23","","",""
