store,title,validUntil,image,price,oldPrice,loyaltyRequired,storeSize,description,discountInfo,productBrand,discountDescription
"Rimi","Pop.rankšluosčiai RIMI, 2 sluok., 400 lapelių","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_816078_PCE_LT","1.49","2.99","true","","2,99 €/vnt.","-50%","","1,49 €/vnt."
"Rimi","Tualetinis popierius RIMI, 16 ritinėl.","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_815649_PCE_LT","3.49","5.69","true","","0,36 €/vnt.","","","0,22 €/vnt."
"Rimi","Drėgnas tualet. popier. RIMI su ramun.,60vnt.","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_813932_PCE_LT","0.99","1.99","true","","0,03 €/vnt.","-50%","","0,02 €/vnt."
"Rimi","Šaldytos vyšnios be kauliukų RIMI, 400 g","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_811669_PCE_LT","2.49","2.99","true","","7,47 €/kg","","","6,22 €/kg"
"Rimi","Sūd. pjaust. atlant. lašišos filė RIMI, 100 g","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_810343_PCE_LT","2.69","3.79","true","","37,90 €/kg","","","26,90 €/kg"
"Rimi","Vienkartinės nosinaintės ZEWA SOFT 10x9vnt.","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_7170536_PCE_LT","1.74","3.49","true","","0,35 €/vnt.","-50%","","0,17 €/vnt."
"Rimi","DVARO varškė, 9 % rieb., 400 g","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_291630_PCE_LT","2.29","4.29","true","","10,72 €/kg","","","5,72 €/kg"
"Rimi","Pailgos saldžios paprikos RIMI,1kl.,250g","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_900263_PCE_LT","1.49","2.19","true","","8,76 €/kg","","","5,96 €/kg"
"Rimi","Viso grūdo tamsi AGOTOS duona su raugu, 300 g","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_4002308_PCE_LT","0.95","1.19","false","","3,17 €/kg","","",""
"Rimi","SOSTINĖS batonas, 400g","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_261388_PCE_LT","1.05","1.29","false","","2,62 €/kg","","",""
"Rimi","Krapai RIMI, 50g","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_817298_PCE_LT","0.59","0.98","false","","11,80 €/kg","","",""
"Rimi","Kosm.servet. ZEWA SOFT&SENSIT. 4sl.80vnt","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_7170535_PCE_LT","1.44","2.89","true","","0,04 €/vnt.","-50%","","0,02 €/vnt."
"Rimi","Atvėsinta smulkinta šamo filė ŽUVĖJA, 350 g","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_946288_PCE_LT","3.99","5.99","false","","11,40 €/kg","","",""
"Rimi","Kosmet. servetėlės RIMI, 3 sl., 90 lap.","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_816530_PCE_LT","0.69","1.39","true","","0,02 €/vnt.","-50%","","0,01 €/vnt."
"Rimi","Kosmet. servetėlės RIMI SMART, 2 sl. 100 lap.","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_816094_PCE_LT","0.49","0.99","true","","0,01 €/vnt.","-50%","",""
"Rimi","Virtas kumpis SELECTION BY RIMI, 70 g","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_803265_PCE_LT","2.19","2.75","false","","31,29 €/kg","","",""
"Rimi","Granatai, 1 kg","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_210718_KGM_LT","2.99","3.49","true","","3,49 €/kg","","","2,99 €/kg"
"Rimi","Šald. krevetės NOWACO EXLUSIVE, ASC, 300 g","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_964569_PCE_LT","6.99","9.99","true","","33,30 €/kg","","","23,30 €/kg"
"Rimi","Duona SUMUŠTINIŲ, 500 g","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_252587_PCE_LT","1.27","1.59","false","","2,54 €/kg","","",""
"Rimi","Ekologiški špinatai BABY I LOVE ECO, 65g","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_906229_PCE_LT","0.83","1.99","false","","12,77 €/kg","","",""
"Rimi","Rauginti agurkai, 600 g","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_917315_PCE_LT","1.85","2.65","true","","6,62 €/kg","","","4,62 €/kg"
"Rimi","Tualetinis popierius RIMI, 8 ritinėl.","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_815657_PCE_LT","1.44","2.89","true","","0,36 €/vnt.","-50%","","0,18 €/vnt."
"Rimi","Kosmetiniai vatos padeliai ALMEDA, 120 vnt.","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_812015_PCE_LT","0.92","1.15","true","","0,01 €/vnt.","","","0,01 €/vnt."
"Rimi","Juoda duona AGOTOS, 375 g","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_253014_PCE_LT","1.11","1.39","false","","2,96 €/kg","","",""
"Rimi","Kokosų gėrimas SANTA MARIA ORIGINAL, 250ml","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_196376_PCE_LT","1.89","2.39","true","","9,56 €/l","","","7,56 €/l"
