store,title,validUntil,image,price,oldPrice,loyaltyRequired,storeSize,description,discountInfo,productBrand,discountDescription
"Lidl","Šviesi „Močiutės“ duona","02 16 - 02 22","https://imgproxy-retcat.assets.schwarz/LdiR5qxJzvB1Gsb5TsfuJFSsXPoM-QqD-iEx_ad6Sn8/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzI4Rjc4NDc4NjY0MDJENEExQ0RFNTk2NT/MwNzEzMTA1MUI2MjNCMjU1MjAwMkM2Q0Y2MjIxNTI5OTZDRDAzNzAucG5n.png","1.29","","false","","300 g | 1 kg = 4,30 €","SUPERKAINA!","Vilniaus duona",""
"Lidl","Atlantinių lašišų filė žolelių ir česnakų marinate","02 19 - 02 22","https://imgproxy-retcat.assets.schwarz/hPBiSYBGedBiPM5qUErA1ktcF9aUFAfgxwhYXsOJXwE/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzVCRDU1QjYzNDRFOEJEODc4QjIxRDI5QU/ZBRTNGNzFDQkNGRDVGMTMyRjI0RkY0QTQ4M0M0RDI1QzQ3RDI0MjgucG5n.png","14.99","","false","","1 kg","SUPERKAINA!","Nordian",""
"Lidl","Menkė vakuume","02 19 - 02 22","https://imgproxy-retcat.assets.schwarz/6FIt-JDSxjrY2vphJfy5uIigY7-DGGpvGxYIn6nSaow/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbHQvMS9EMUU0Rjg3QjVGQkM1RURBNUYwM0E4NzQ/4RDE1N0UzMzVGQzc1Mjk2NDRGQkUxRERENEM4RkJDOTUzOUExQTZFLnBuZw.png","6.99","","false","","1 kg","SUPERKAINA!","FishNet",""
"Lidl","Virtos baltakojės blyškiosios krevetės","02 19 - 02 22","https://imgproxy-retcat.assets.schwarz/m14HltWoRvHtGC3Q8yfZfoPlNvmJd5SyWR4t9kDtzBA/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzNGQzg1NEVFRjUyQzAyNjhENTVEQTk3Mz/dFOTk0RDQwMDA2MjlCODM4ODUwRURERTQ5OUExNzVFQjAzNjczNTQucG5n.png","3.15","4.89","false","","350 g / 1 kg = 9,00 €","-35%","",""
"Lidl","Sušių rinkinys Kuro","02 19 - 02 22","https://imgproxy-retcat.assets.schwarz/LgVmAnVSpVU7isdQFpNLZq87CSiOEczSutzlCYNyeho/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50Lzk3MEQ3RDBEQTY3MzNBQTFEOUUyRDFBRj/AwNEU5RTFEMzNGMjA2MUMwREU5QTAxNzREMDkxQzA5QzUzODE4ODIucG5n.png","2.99","","false","","9 vnt. | 235 g / 1 kg = 12,72 €","SUPERKAINA!","",""
"Lidl","Marinuotas viščiukas su rūkyta šonine","02 19 - 02 22","https://imgproxy-retcat.assets.schwarz/T5wnd29WJYq4_eBBIWGKCv1ot1j2dX3aLRObdI-LRKY/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbHQvMS8zMEYzRkJCNjRDNjM2OTVCQUU4MERFMTE/xQTY0QkI1QkZFQTQ5NjUzMDlENDg0RDlFMUUxM0NGMzg4RUM4QzE5LnBuZw.png","3.99","","false","","1 kg","SUPERKAINA!","",""
"Lidl","Šviežia kiaulienos nugarinė be kaulo","02 19 - 02 22","https://imgproxy-retcat.assets.schwarz/dWhAh1K_ui6yF4nYxK9eC4pVBt5vbQH8Ym61v0Si3s8/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50L0VDQUVCN0JDOUU5ODEyNDdCRjk1MkQzND/dDOTM3NEE4QTVDQTJFNzU1ODI3OUNCNjYyQkM2MjlFNDZCRjFGN0IucG5n.png","3.89","","false","","1 kg","SUPERKAINA!","",""
"Lidl","Jautienos maltinis mėsainiams","02 19 - 02 22","https://imgproxy-retcat.assets.schwarz/tbdIcPpIX3ftNr1iX6oWaW-6P0liNvAWLqeK7quxivQ/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzY3QTM5Mjk1NkZDMEQ1ODQwQUVDNzAyMk/Y0MjJEMkJFRDgzNTZBQTc2MzJENEQwQ0YyQzZBNDJGRTNFRDBFREEucG5n.png","2.39","2.99","false","","220 g / 1 kg = 10,86 €","-20%","Grill&Fun",""
"Lidl","Kebabo mėsa marinate","02 19 - 02 22","https://imgproxy-retcat.assets.schwarz/h8c7w7Q-CmwFyV56ynjobuI83j2ykpLwQDXJxcccYz4/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbHQvMS81MjJFMzMwQkEzMDU3Mzk5QjRDNDExNkZ/DMzlFREFGRjVFQzc4MTgxOEYwMUIwNUI0MzFFMkMxMDFFN0MwRUVBLnBuZw.png","2.99","","false","","1 kg / 400 g = 7,48 €","SUPERKAINA!","",""
"Lidl","Mini sviestinis kruasanas","02 19 - 02 22","https://imgproxy-retcat.assets.schwarz/t8ELeoU_iwo0SAiaNsZWXziUqwYJG_taSv2oMCwv9Nw/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbHQvMS9FOENCMjAzQzRFNjc4RDA4RUI2QzVFM0I/4REY3NUMzRTYxN0Y5NTU2N0U5RTgxNTc3OTUxRjJEMTRGN0QyNjA4LnBuZw.png","1","1.14","false","","6 x 25 g | 1 kg = 6,67 €","-12%","",""
"Lidl","Spurga su pistacijų įdaru","02 19 - 02 22","https://imgproxy-retcat.assets.schwarz/x26r84FpO1nPP3MHDIbuK5rpwPGs4aJozJAP228ub3g/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbHQvMS9ERkFBQ0I4N0E4MEIzNjgyQTIzQ0IyNzI/wMUI1RjM4MzAxM0FGQjdBRkFFNkRGMTJCMDY1NDJDRTVDMjgwNThBLnBuZw.png","0.86","1.29","false","","90 g / 1 kg = 9,56 €","-33%","",""
"Lidl","Kanelės su pistacijų įdaru","02 19 - 02 22","https://imgproxy-retcat.assets.schwarz/NBJ9YVLLyUKvh2nrLMOlqNNr6SGlBh6FYPhr4ueaJi0/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzlBMDcwQjk2RDI4MzE0NkM2NEU5MjA0OE/IxODg4NjE1NUFCQjExQjkwNjMyMjZFMThCMjlGREY0MDlCNjI5RDIucG5n.png","0.59","0.89","false","","55 g / 1 kg = 10,73 €","-33%","",""
"Lidl","Duona su raugu ir ruginiais miltais","02 19 - 02 22","https://imgproxy-retcat.assets.schwarz/a-rzg6nx56JGrLUeu_fagMDSzrQxHvTSWEGhLb6TSr8/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbHQvMS84QjkwQTA2MTczMzEzMzdEOTFDMTU4MzN/FMTQwQzc1MEEyQUY0NzdBQ0Q0NTRBRDQ5QTRBOTI0NERENUExOEVBLnBuZw.png","1.19","1.49","false","","500 g | 1 kg = 2,38 €","-20%","",""
"Lidl","Žaliosios besėklės vynuogės","02 19 - 02 22","https://imgproxy-retcat.assets.schwarz/JsaLWzwfb5q6QIyTCSVwXq-oGT1LXYjEWp7LgOK95Jw/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzgzQUQ4RkQzOEEzMjNCMjc5NjkyNDdFN0/JDRjI5NzNEOUQ4MUU0OTcyOEIxQTM4QjYwQTg5RDI1QTNCM0Y2MTEucG5n.png","3.59","4.99","false","","1 kg","-28%","",""
"Lidl","Žiedinis kopūstas","02 19 - 02 22","https://imgproxy-retcat.assets.schwarz/Mf3L4moDakOu4xK_8-NgYliDB_LAkAPsx7Ict3shnTs/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50L0I1QTA2NzUwQjNEOTA3QzcxQTBFOUFDRD/JGM0YzQUY2MzJENkZGRjcyQzE1NzRGMTc0RjU4OTkyNEQwRDgxQkEucG5n.png","1.89","2.99","false","","1 vnt.","-36%","",""
"Lidl","Ekologiški pomidorai su šakelėmis","02 19 - 02 22","https://imgproxy-retcat.assets.schwarz/mzR00sdnRrMgy1nd7P_g1JMs3ByXkSLkZ-t5mJTdpwU/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbHQvMS83RERFNjhCMkFBNTU0RkRGNjlFRTVDRTR/EMjI2NUVBN0QwQThDMTQyNzI5MUFCRTU4MTBBMDlFRTJDQ0JDRDJFLnBuZw.png","1.99","2.99","false","","500 g | 1 kg = 3,98 €","-33%","",""
"Lidl","Raudonieji obuoliai","02 19 - 02 22","https://imgproxy-retcat.assets.schwarz/2xYTRktpe-c8c77DYgsWIZQWxUQpjvKAdUYLxQCSWEY/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbHQvMS8xM0EwOTA4Q0Y1MjkwN0IzNUMzQzA0QUR/ENDVFOUVDMjFCQUZGQUZGQkI4NkIzOEYyOEI1QzA0RjkwMzFFN0U3LnBuZw.png","0.79","1.99","false","","1 kg","-60%","",""
"Lidl","Ekologiški apelsinai","02 19 - 02 22","https://imgproxy-retcat.assets.schwarz/2OPa6XjEBizAio81L60ENced_YvCAvNSIEUdGuqmBic/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbHQvMS9DQkYzRDg4ODc0QUZGMDNCQUQ3NTM4Qzc/0MTRGN0I1Q0I1RkM2RUNDQUZBMzgzMUQzQkY3MzAwM0U1MEIyQ0RDLnBuZw.png","1.99","2.99","true","","1 kg","-33%","",""
"Lidl","Baklažanai","02 19 - 02 22","https://imgproxy-retcat.assets.schwarz/XW8LS61IKE1IPrx7DUcYQOO0nlsSPrnWvmfUQb7H1YA/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50L0RGODkwMzdCMDlGRTM3RUE3OUMyQzUyQ0/JFRTczQUExRjY0QkQ3NzhBOTY2RDgyMEJDNEYxMjkwOUY3QUNGQzYucG5n.png","2.99","5.79","true","","1 kg","-48%","",""
