store,title,validUntil,image,price,oldPrice,loyaltyRequired,storeSize,description,discountInfo,productBrand,discountDescription
"IKI","Tortas LUI","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-087.jpg","14.99","17.99","true","3","1 kg","TIK","",""
"IKI","Kreminis aguonų tortas LIONAS","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-088.jpg","6.99","8.99","true","3","550 g, 12,71 Eur/kg","-22%","",""
"IKI","Kapotos tešlos pyragas su karameliniu kremu","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-089.jpg","10.49","13.99","true","3","1 kg","TIK","",""
"IKI","MEDAUS pyragas","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-090.jpg","9.99","10.99","true","0","1 kg","TIK","",""
"IKI","OBUOLIŲ pyragas AUKSO SODAS","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-091.jpg","4.99","6.49","true","3","500 g, 9,98 Eur/kg","-23%","",""
"IKI","Eklerams","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-092.jpg","","","true","0","Įvairių rūšių. Ir IKI EXPRESS","","",""
"IKI","TRAPIOS juostelės su džemu","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-093.jpg","12.99","16.99","true","3","1 kg","-23%","",""
"IKI","Kanelė","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-094.jpg","0.59","0.75","true","3","40 g, 14,75 Eur/kg","-21%","",""
"IKI","Kruasanas su aviečių ir kremo įdaru","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-095.jpg","1.38","0.69","false","3","80 g, 0,69 Eur/vnt.","2+1","",""
"IKI","Spurga DONUT FROSTY ORANGE su įdaru","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-096.jpg","0.49","0.69","true","0","70 g, 7,00 Eur/kg. Pasiūlymas galioja iki 2026 03 01. Ir IKI EXPRESS","TIK","",""
"IKI","Grietinėtis","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-097.jpg","2.37","0.79","false","0","70 g, 0,79 Eur/vnt. Ir IKI EXPRESS","3+1","",""
"IKI","Picos užkandis DELICIO su plėšyta kiauliena ir daržovėmis","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-098.jpg","1.19","1.49","true","3","155 g, 7,68 Eur/kg","-20%","",""
"IKI","Pyragėlis su kreminiu sūriu ir žolelėmis","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-099.jpg","0.39","0.69","true","0","57 g, 6,84 Eur/kg. Pasiūlymas galioja iki 2026 03 01. Ir IKI EXPRESS","TIK","",""
"IKI","Suktinukai ROLLINI su vištiena ar pievagrybiais","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-100.jpg","0.65","0.79","true","3","120 g, 2 rūšių, 5,42 Eur/kg","TIK","",""
"IKI","Mini PRANCŪZIŠKAS batonas su česnakinio sviesto įdaru","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-101.jpg","0.39","0.49","true","0","67 g, 5,82 Eur/kg. Ir IKI EXPRESS","-20%","",""
"IKI","Šviesi duona su grūdais ir sėklomis","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-102.jpg","1.49","1.79","true","0","400 g, 3,73 Eur/kg. Ir IKI EXPRESS","TIK","",""
